Vardas Pavardė,Pareigos,Laikotarpis,Ar išbuvo visą kadenciją?,Nuotraukos pavadinimas,Darinys
Rūta Šakickaitė,VU SA TSPMI pirmininkė,2025-05 – 2026-05,,,VU SA Parlamentas
Smiltė Domeikytė,VU SA TSPMI studentų atstovė VU SA Parlamente,2025-05 – 2026-05,,,VU SA Parlamentas
Aliya Adilbayeva,VU SA TSPMI studentų atstovas VU SA Parlamente,2025-05 – 2026-05,,,VU SA Parlamentas
Tomas Kazlauskas,VU SA VM pirmininkas,2025-05 – 2026-05,,,VU SA Parlamentas
Jokūbas Kuodis,VU SA VM studentų atstovas VU SA Parlamente,2025-05 – 2026-05,,,VU SA Parlamentas
Faustina Paulauskaitė,VU SA VM studentų atstovas VU SA Parlamente,2025-05 – 2026-05,,,VU SA Parlamentas
Klėja Merčaitytė,Prezidentė,2025-05 – 2026-05,,,VU SA Taryba
Rokas Urbonas,VU SA CHGF pirmininkė,2025-05 – 2026-05,,,VU SA Taryba
Miglė Gutauskaitė,VU SA EVAF pirmininkė,2025-05 – 2026-05,,,VU SA Taryba
Tadas Lekšas,VU SA FF pirmininkas,2025-05 – 2026-05,,,VU SA Taryba
Gabija Smailytė,VU SA FilF pirmininkė,2025-05 – 2026-05,,,VU SA Taryba
Austėja Pupelytė,VU SA FsF Pirmininkė,2025-05 – 2026-05,,,VU SA Taryba
Urtė Akulavičiūtė,VU SA GMC pirmininkė,2025-05 – 2025-12,Ne,,VU SA Taryba
Ada Putrytė,VU SA GMC pirmininkė,2025-12 – 2026-05,,,
Meda Andrulytė,VU SA IF pirmininkė,2025-05 – 2026-05,,,VU SA Taryba
Akvilė Banytė,VU SA KF pirmininkė,2025-05 – 2026-05,,,VU SA Taryba
Rimantė Kelpšaitė,VU SA KnF pirmininkė,2025-05 – 2025-06,Ne,,VU SA Taryba
Evelina Martinkutė,VU SA KnF pirmininkė,2025-09 – 2026-05,,,
Agata Bruzgul,VU SA MF pirmininkė,2025-05 – 2026-05,,,VU SA Taryba
Gintarė Antulytė,VU SA MIF pirmininkas,2025-05 – 2026-05,,,VU SA Taryba
Lukas Janiulis,VU SA ŠA pirmininkė,2025-05 – 2026-05,,,VU SA Taryba
Andrius Viljamas Gontier,VU SA TF pirmininkas,2025-05 – 2026-05,,,VU SA Taryba
Rūta Šakickaitė,VU SA TSPMI pirmininkas,2025-05 – 2026-05,,,VU SA Taryba
Tomas Kazlauskas,VU SA VM pirmininkas,2025-05 – 2026-05,,,VU SA Taryba
Egmontas Taraila,Pirmininkas,2025-12 – 2026-05,,,VU SA Revizijos komisija
Gabija Pakatiliūtė,Pirmininkė,2025-05 – 2025-12,,,VU SA Revizijos komisija
Ainetė Sabaliauskaitė,Narė,2025-05 – 2026-05,,,VU SA Revizijos komisija
Lukas Krasauskas,Narys,2025-05 – 2026-05,,,VU SA Revizijos komisija
Viktorija Jonuškaitė,Narė,2025-05 – 2026-05,,,VU SA Revizijos komisija
Aleksandras Trakas,Pirmininkas,,,,VU SA Institucinio stiprinimo fondas
Gabrielė Kasperaitė,Narė,,,,VU SA Institucinio stiprinimo fondas
Gytis Virketis,Narys,,,,VU SA Institucinio stiprinimo fondas
Livija Trakelytė,Narė,,,,VU SA Institucinio stiprinimo fondas
Anastasija Volkova,Narė,,,,VU SA Institucinio stiprinimo fondas
Samanta Valiušaitytė,Narė,,,,VU SA Institucinio stiprinimo fondas
Andrius Viljamas Gontier,Pirmininkas,2025-05 – 2026-05,,,VU SA Parlamento teisės darbo grupė
Lauryna Laurinaitytė,Narė,2025-05 – 2026-05,,,VU SA Parlamento teisės darbo grupė
Viltė Vozbutaitė,Narė,2025-05 – 2026-05,,,VU SA Parlamento teisės darbo grupė
Tadas Lekšas,Narys,2025-05 – 2026-05,,,VU SA Parlamento teisės darbo grupė
Emilis Mikulskis,Narys,2025-05 – 2026-05,,,VU SA Parlamento teisės darbo grupė
Žygimantas Mazėtis,Pirmininkas,–,,,VU SA Duomenų apsaugos grupė
Žaneta Meškytė,Narys,–,,,VU SA Duomenų apsaugos grupė
Povilas Virbašius,Narys,–,,,VU SA Duomenų apsaugos grupė
